id	name_es	name_en	country_id
AD-02	Canillo	Canillo	AD
AD-03	Encamp	Encamp	AD
AD-04	La Massana	La Massana	AD
AD-05	Ordino	Ordino	AD
AD-06	Sant Julià De Lòria	Sant Julia De Loria	AD
AD-07	Andorra La Vella	Andorra La Vella	AD
AD-08	Escaldes-Engordany	Escaldes-Engordany	AD
AE-AJ	Ajman	Ajman	AE
AE-AZ	Abu Dabi	Abu Dhabi	AE
AE-DU	Dubai	Dubai	AE
AE-FU	Fujairah	Fujairah	AE
AE-RK	Ras Al Khaimah	Ras Al Khaimah	AE
AE-SH	Sharjah	Sharjah	AE
AE-UQ	Umm Al Quwain	Umm Al Quwain	AE
AF-BAL	Balkh	Balkh	AF
AF-BAM	Bamyan	Bāmyān	AF
AF-BDG	Badghis	Bādghīs	AF
AF-BDS	Badakhshan	Badakhshān	AF
AF-BGL	Baghlān	Baghlān	AF
AF-DAY	Daykundi	Dāykundī	AF
AF-FRA	Farāh	Farāh	AF
AF-FYB	Faryab	Fāryāb	AF
AF-GHA	Ghaznī	Ghaznī	AF
AF-GHO	Ghor	Ghōr	AF
AF-HEL	Helmand	Helmand	AF
AF-HER	Herāt	Herāt	AF
AF-JOW	Jowzjān	Jowzjān	AF
AF-KAB	Kābul	Kābul	AF
AF-KAN	Kandahar	Kandahār	AF
AF-KAP	Kapisa	Kāpīsā	AF
AF-KDZ	Kunduz	Kunduz	AF
AF-KHO	Khost	Khōst	AF
AF-KNR	Kunar	Kunaṟ	AF
AF-LAG	Laghman	Laghmān	AF
AF-LOG	Logar	Lōgar	AF
AF-NAN	Nangarhar	Nangarhār	AF
AF-NIM	Nimroz	Nīmrōz	AF
AF-NUR	Nuristan	Nūristān	AF
AF-PAN	Panjshayr	Panjshayr	AF
AF-PAR	Parwan	Parwān	AF
AF-PIA	Paktiya	Paktiyā	AF
AF-PKA	Paktika	Paktīkā	AF
AF-SAM	Samangān	Samangān	AF
AF-SAR	Sar-E Pul	Sar-E Pul	AF
AF-TAK	Takhar	Takhār	AF
AF-URU	Uruzgan	Uruzgān	AF
AF-WAR	Wardak	Wardak	AF
AF-ZAB	Zabul	Zābul	AF
AG-01	Isla De Antigua	Antigua Island	AG
AG-02	Isla De Barbuda	Barbuda Island	AG
AG-03	Isla Redonda	Redonda Island	AG
AG-04	Isla De Los Pájaros	Bird Island	AG
AG-05	Isla Del Obispo	Bishop Island	AG
AG-06	Isla Blake	Blake Island	AG
AG-09	Isla Crump	Crump Island	AG
AG-10	Isla Dulcina	Dulcina Island	AG
AG-11	Isla De Intercambio	Exchange Island	AG
AG-12	Cinco Islas	Five Islands	AG
AG-13	Isla Gran Pájaro	Great Bird Island	AG
AG-14	Isla Verde	Green Island	AG
AG-15	Isla De Guayana	Guiana Island	AG
AG-16	Isla De La Puerta Del Infierno	Hells Gate Island	AG
AG-17	Isla De Hawes	Hawes Island	AG
AG-18	Isla Henry	Henry Island	AG
AG-19	Isla Johnson	Johnson Island	AG
AG-20	Isla De Los Niños	Kid Island	AG
AG-22	Isla De La Langosta	Lobster Island	AG
AG-24	Isla Doncella	Maiden Island	AG
AG-25	Isla De Los Moros	Moor Island	AG
AG-26	Isla Nana	Nanny Island	AG
AG-27	Isla Pelícano	Pelican Island	AG
AG-28	La Isla De Los Hongos	Prickly Pear Island	AG
AG-29	Isla De Los Conejos	Rabbit Island	AG
AG-31	Isla Cabeza Roja	Red Head Island	AG
AG-32	Isla Sandy	Sandy Island	AG
AG-33	Isla Smith	Smith Island	AG
AG-34	Las Hermanas	The Sisters	AG
AG-35	Isla De Vernon	Vernon Island	AG
AG-36	La Isla De Wicked Will	Wicked Will Island	AG
AG-37	Isla De York	York Island	AG
AI-01	Anguila	Anguilla	AI
AI-02	Isla Anguillita	Anguillita Island	AI
AI-03	Roca Sopladora	Blowing Rock	AI
AI-04	Cayo Cala	Cove Cay	AI
AI-05	Cayo Crocus	Crocus Cay	AI
AI-06	Deadman'S Cay	Deadman'S Cay	AI
AI-07	Isla De Los Perros	Dog Island	AI
AI-08	Cayo Este	East Cay	AI
AI-09	Pequeña Isla	Little Island	AI
AI-10	Pequeña Isla De Matorrales	Little Scrub Island	AI
AI-11	Cayo Medio	Mid Cay	AI
AI-12	Cayo Norte	North Cay	AI
AI-13	Cayos Chumbos	Prickly Pear Cays	AI
AI-14	Isla De Los Conejos	Rabbit Island	AI
AI-15	Isla De Arena/Isla De Arena	Sandy Island/Sand Island	AI
AI-16	Scilly Cay	Scilly Cay	AI
AI-17	Isla De Los Matorrales	Scrub Island	AI
AI-18	Isla Seal	Seal Island	AI
AI-19	Sombrero/Islas Del Sombrero	Sombrero/Hat Island	AI
AI-20	Cayo Sur	South Cay	AI
AI-21	Isla De La Apuesta Del Sur	South Wager Island	AI
AI-22	Cayo Oeste	West Cay	AI
AL-01	Berat	Berat	AL
AL-02	Durrës	Durrës	AL
AL-03	Elbasan	Elbasan	AL
AL-04	Fier	Fier	AL
AL-05	Gjirokastër	Gjirokastër	AL
AL-06	Korçë	Korçë	AL
AL-07	Kukës	Kukës	AL
AL-08	Lezhë	Lezhë	AL
AL-09	Dibër	Dibër	AL
AL-10	Shkodër	Shkodër	AL
AL-11	Tirana	Tirana	AL
AL-12	Vlorë	Vlorë	AL
AM-AG	Aragatsotn	Aragatsotn	AM
AM-AR	Ararat	Ararat	AM
AM-AV	Armavir	Armavir	AM
AM-ER	Ereván	Yerevan	AM
AM-GR	Gegharkunik	Gegharkunik	AM
AM-KT	Kotayk	Kotayk	AM
AM-LO	Lori	Lori	AM
AM-SH	Shirak	Shirak	AM
AM-SU	Syunik	Syunik	AM
AM-TV	Tavush	Tavush	AM
AM-VD	Vayots Dzor	Vayots Dzor	AM
AO-BGO	Bengo	Bengo	AO
AO-BGU	Benguela	Benguela	AO
AO-BIE	Bie	Bié	AO
AO-CAB	Cabinda	Cabinda	AO
AO-CCU	Kuando Kubango	Kuando Kubango	AO
AO-CNN	Cunene	Cunene	AO
AO-CNO	Kwanza Norte	Kwanza Norte	AO
AO-CUS	Kwanza Sur	Kwanza Sul	AO
AO-HUA	Huambo	Huambo	AO
AO-HUI	Huila	Huíla	AO
AO-LNO	Lunda Norte	Lunda Norte	AO
AO-LSU	Lunda Sur	Lunda Sul	AO
AO-LUA	Luanda	Luanda	AO
AO-MAL	Malanje	Malanje	AO
AO-MOX	Moxico	Moxico	AO
AO-NAM	Namibe	Namibe	AO
AO-UIG	Uíge	Uíge	AO
AO-ZAI	Zaire	Zaire	AO
AQ-AQ	Antártida	Antarctica	AQ
AR-A	Salta	Salta	AR
AR-B	Buenos Aires	Buenos Aires	AR
AR-C	Capital Federal	Capital Federal	AR
AR-D	San Luis	San Luis	AR
AR-E	Entre Ríos	Entre Ríos	AR
AR-F	La Rioja	La Rioja	AR
AR-G	Santiago Del Estero	Santiago Del Estero	AR
AR-H	Chaco	Chaco	AR
AR-J	San Juan	San Juan	AR
AR-K	Catamarca	Catamarca	AR
AR-L	La Pampa	La Pampa	AR
AR-M	Mendoza	Mendoza	AR
AR-N	Misiones	Misiones	AR
AR-P	Formosa	Formosa	AR
AR-Q	Neuquén	Neuquén	AR
AR-R	Río Negro	Río Negro	AR
AR-S	Santa Fe	Santa Fe	AR
AR-T	Tucumán	Tucumán	AR
AR-U	Chubut	Chubut	AR
AR-V	Tierra Del Fuego	Tierra Del Fuego	AR
AR-W	Corrientes	Corrientes	AR
AR-X	Córdoba	Córdoba	AR
AR-Y	Jujuy	Jujuy	AR
AR-Z	Santa Cruz	Santa Cruz	AR
AS-01	Tutuila	Tutuila	AS
AS-02	Aunu'U	Aunu'U	AS
AS-03	Ta'U	Ta'Ū	AS
AS-04	Ofu-Olosega	Ofu‑Olosega	AS
AS-21	Rose Atoll	Rose Atoll	AS
AS-22	Isla De Swain	Swains Island	AS
AT-1	Burgenland	Burgenland	AT
AT-2	Carintia	Carinthia	AT
AT-3	Baja Austria	Lower Austria	AT
AT-4	Alta Austria	Upper Austria	AT
AT-5	Salzburgo	Salzburg	AT
AT-6	Estiria	Styria	AT
AT-7	Tirol	Tirol	AT
AT-8	Vorarlberg	Vorarlberg	AT
AT-9	Viena	Vienna	AT
AU-ACT	Territorio De La Capital Australiana	Australian Capital Territory	AU
AU-NSW	Nueva Gales Del Sur	New South Wales	AU
AU-NT	Territorio Del Norte	Northern Territory	AU
AU-QLD	Queensland	Queensland	AU
AU-SA	Sur De Australia	South Australia	AU
AU-TAS	Tasmania	Tasmania	AU
AU-VIC	Victoria	Victoria	AU
AU-WA	El Oeste De Australia	Western Australia	AU
AW-AW	Aruba	Aruba	AW
AX-BR	Brando	Brando	AX
AX-EC	Eckerö	Eckerö	AX
AX-FG	Föglö	Föglö	AX
AX-FN	Finström	Finström	AX
AX-GT	Geta	Geta	AX
AX-HM	Hammarland	Hammarland	AX
AX-JM	Jomala	Jomala	AX
AX-KK	Kökar	Kökar	AX
AX-KM	Kumlinge	Kumlinge	AX
AX-LE	Lemland	Lemland	AX
AX-LU	Lumparland	Lumparland	AX
AX-MH	Mariehamn	Mariehamn	AX
AX-SD	Sund	Sund	AX
